,num_samples,duration,offset_seconds,window_seconds,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,code_version,echoprint_version,synch_version,rhythm_version,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness,valence,name,track,genre
0,5666850,257.0,0,0,22050,1,0.90503,230.53351,-31.811,68.88,0.044,5,0.074,7,0.456,0,0.413,3.15,4.12,1.0,1.0,0.994,0.242,257000,0.00898,0.909,0.0814,0.0424,0.0549,Claude Debussy,"Rêverie, L. 68: Rêverie",classical
1,9565290,433.8,0,0,22050,1,2.61224,427.02077,-28.215,144.13,0.056,4,0.195,5,0.676,1,0.715,3.15,4.12,1.0,1.0,0.982,0.194,433800,0.0324,0.961,0.0916,0.0382,0.0596,Wolfgang Amadeus Mozart,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante",classical
2,3357774,152.28,0,0,22050,1,2.13624,143.54576,-18.752,73.289,0.082,4,0.702,7,0.659,1,0.777,3.15,4.12,1.0,1.0,0.89,0.275,152280,0.157,0.842,0.186,0.0636,0.304,Johann Sebastian Bach,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",classical
3,7680750,348.33333,0,0,22050,1,0.74712,311.54213,-29.481,130.464,0.001,4,0.733,1,0.498,1,0.44,3.15,4.12,1.0,1.0,0.995,0.398,348333,0.00293,0.922,0.0897,0.0666,0.0804,Frédéric Chopin,"Chopin: 24 Preludes, Op. 28: No. 15 in D-Flat Major, ""Raindrop""",classical
4,18131862,822.30667,0,0,22050,1,0.18916,805.97043,-22.125,111.408,0.071,4,0.984,2,0.416,0,0.366,3.15,4.12,1.0,1.0,0.964,0.364,822307,0.189,0.82,0.0769,0.0425,0.283,Ludwig van Beethoven,Beethoven : Symphony No.9 in D minor Op.125 : II Molto vivace,classical
5,10975902,497.77333,0,0,22050,1,1.05964,490.77116,-27.015,125.242,0.021,3,0.463,8,1.0,1,0.818,3.15,4.12,1.0,1.0,0.987,0.343,497773,0.0209,0.922,0.126,0.0398,0.0393,Franz Schubert,"4 Impromptus, Op.90, D.899: No.4 in A Flat Major: Allegretto",classical
6,6973680,316.26667,0,0,22050,1,0.56939,302.0742,-15.772,124.63,0.201,4,1.0,1,0.767,1,0.787,3.15,4.12,1.0,1.0,0.527,0.332,316267,0.218,0.238,0.223,0.0392,0.538,Johann Pachelbel,Canon & Gigue,classical
7,6517098,295.56,0,0,22050,1,0.0,279.47537,-19.632,101.182,0.043,4,0.105,5,0.021,1,0.245,3.15,4.12,1.0,1.0,0.992,0.235,295560,0.166,0.87,0.101,0.0347,0.0356,Philip Glass,Etude No. 2,classical
8,20624688,935.36,0,0,22050,1,2.40327,876.35592,-32.654,74.554,0.084,4,0.248,4,0.453,0,0.531,3.15,4.12,1.0,1.0,0.902,0.0811,935360,0.0122,0.308,0.0648,0.0511,0.0384,Tasmin Little,The Lark Ascending,classical
9,3386292,153.57333,0,0,22050,1,0.52,138.18195,-18.452,169.952,0.296,3,0.889,7,1.0,1,0.719,3.15,4.12,1.0,1.0,0.837,0.333,153573,0.465,0.797,0.291,0.0462,0.641,Antonio Vivaldi,"The Four Seasons, Violin Concerto No. 2 in G Minor, RV 315 ""Summer"": III. Presto",classical
10,18816294,853.34667,0,0,22050,1,3.41914,847.0117,-16.584,78.015,0.198,4,0.125,4,0.428,1,0.47,3.15,4.12,1.0,1.0,0.872,0.0821,853347,0.128,0.889,0.107,0.0346,0.0427,Richard Wagner,Tannhäuser: Overture,classical
11,4105710,186.2,0,0,22050,1,0.26122,169.40698,-33.859,135.407,0.197,3,0.1,5,0.789,1,0.768,3.15,4.12,1.0,1.0,0.995,0.453,186200,0.00715,0.931,0.0647,0.0709,0.257,Robert Schumann,"Kinderszenen, Op. 15: VII. Träumerei",classical
12,16111200,730.66667,0,0,22050,1,6.34485,723.70794,-19.607,99.212,0.186,4,0.769,4,0.485,0,0.501,3.15,4.12,1.0,1.0,0.917,0.278,730667,0.151,0.122,0.273,0.042,0.167,Kyung Wha Chung,"Violin Concerto In E Minor, Op.64, MWV O14: 1. Allegro molto appassionato",classical
13,7642236,346.58667,0,0,22050,1,0.85383,335.15683,-26.911,125.793,0.03,3,0.173,4,0.225,0,0.439,3.15,4.12,1.0,1.0,0.994,0.491,346587,0.0176,0.927,0.0985,0.0644,0.0901,Maurice Ravel,"Ravel: Pavane pour une infante défunte, M. 19",classical
14,7192710,326.2,0,0,22050,1,3.06503,302.41088,-22.517,153.035,0.018,4,0.086,2,0.694,1,0.528,3.15,4.12,1.0,1.0,0.988,0.134,326200,0.0861,0.204,0.0761,0.0441,0.0355,Richard Strauss,Vier letzte Lieder: 2. September,classical
15,27355230,1240.6,0,0,22050,1,1.00404,1237.6468,-16.814,81.013,0.125,4,0.335,10,0.0,0,0.104,3.15,4.12,1.0,1.0,0.976,0.265,1240600,0.169,0.871,0.0903,0.036,0.0399,Van Cliburn,"Piano Concerto No. 1 in B-Flat Minor, Op. 23: Allegro non troppo e molto maestoso",classical
