,num_samples,duration,offset_seconds,window_seconds,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,code_version,echoprint_version,synch_version,rhythm_version,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness,valence,name,track,genre
0,3864348,175.25388,0,0,22050,1,3.15211,167.43909,-3.389,126.178,0.796,4,1.0,6,1.0,1,0.516,3.15,4.12,1.0,1.0,0.206,0.592,175254,0.977,0.000103,0.0703,0.312,0.496,Oliver Heldens,Fire In My Soul,dance
1,5469184,248.03556,0,0,22050,1,0.0,245.26658,-5.844,125.0,0.877,4,1.0,2,0.644,1,0.614,3.15,4.12,1.0,1.0,0.00182,0.76,248036,0.964,0.7,0.0974,0.0576,0.641,FISHER,Losing It,dance
2,5053510,229.18413,0,0,22050,1,0.0,229.18413,-4.311,122.015,0.441,4,0.887,1,0.463,0,0.564,3.15,4.12,1.0,1.0,0.016,0.807,229184,0.887,0.000503,0.0811,0.0361,0.606,Calvin Harris,Giant (with Rag'n'Bone Man),dance
3,3750245,170.07914,0,0,22050,1,0.0,163.79937,-3.284,125.85,0.197,4,1.0,5,0.0,0,0.224,3.15,4.12,1.0,1.0,0.0113,0.55,170079,0.899,9.65e-05,0.137,0.0458,0.408,ARTY,Save Me Tonight,dance
4,4149535,188.18753,0,0,22050,1,0.16844,184.98757,-3.74,124.015,0.946,4,0.413,1,0.325,0,0.323,3.15,4.12,1.0,1.0,0.0146,0.877,188188,0.857,0.015,0.0569,0.126,0.822,Kaskade,Tight,dance
5,4282836,194.23293,0,0,22050,1,0.61528,185.68417,-7.414,125.015,0.742,4,0.995,9,0.569,0,0.486,3.15,4.12,1.0,1.0,0.00646,0.595,194233,0.877,0.0879,0.398,0.0442,0.081,CamelPhat,Breathe (feat. Jem Cooke),dance
6,3827250,173.57143,0,0,22050,1,0.23778,167.81642,-3.219,126.002,0.411,4,1.0,4,0.462,0,0.505,3.15,4.12,1.0,1.0,0.113,0.597,173571,0.785,0.0,0.336,0.04,0.575,Matisse & Sadko,Don’t Tell Me,dance
7,4106592,186.24,0,0,22050,1,0.0,183.19964,-7.773,125.023,0.891,4,1.0,11,0.814,0,0.799,3.15,4.12,1.0,1.0,0.0266,0.771,186240,0.768,1.26e-05,0.426,0.0451,0.607,Jax Jones,Play,dance
8,3451068,156.51102,0,0,22050,1,2.26975,150.07057,-4.676,122.989,0.726,4,1.0,8,0.749,0,0.552,3.15,4.12,1.0,1.0,0.0187,0.733,156511,0.944,0.751,0.173,0.11,0.385,Daddy's Groove,Bvulgari,dance
9,4103358,186.09333,0,0,22050,1,2.26975,180.68608,-7.37,118.021,0.973,4,1.0,11,0.394,0,0.405,3.15,4.12,1.0,1.0,0.00163,0.711,186093,0.829,0.0125,0.0809,0.037,0.435,David Guetta,Drive (feat. Delilah Montagu),dance
10,3569999,161.90472,0,0,22050,1,0.0,159.17859,-3.344,125.944,0.75,4,1.0,2,0.153,0,0.302,3.15,4.12,1.0,1.0,0.017,0.678,161905,0.916,0.000876,0.277,0.12,0.412,R3HAB,Up All Night,dance
11,5512203,249.98653,0,0,22050,1,0.62485,237.2615,-6.095,145.127,0.254,4,0.01,10,0.813,0,0.853,3.15,4.12,1.0,1.0,0.0447,0.484,249987,0.806,4.48e-05,0.333,0.127,0.417,QUIX,Giving Up (feat. Jaden Michaels),dance
12,5088296,230.76172,0,0,22050,1,3.959,220.02068,-6.431,128.038,0.366,4,0.971,6,0.44,0,0.674,3.15,4.12,1.0,1.0,0.0129,0.414,230762,0.486,0.0,0.111,0.0311,0.368,Martin Garrix,High On Life (feat. Bonn),dance
13,3598919,163.21628,0,0,22050,1,0.0,160.50213,-4.399,121.958,0.752,4,1.0,1,0.464,1,0.488,3.15,4.12,1.0,1.0,0.0476,0.752,163216,0.764,9.44e-05,0.0543,0.038,0.582,Loud Luxury,Body,dance
14,3347552,151.81642,0,0,22050,1,0.0,149.68163,-1.656,128.002,0.768,4,1.0,8,0.302,0,0.258,3.15,4.12,1.0,1.0,0.0311,0.715,151816,0.94,5.11e-06,0.367,0.109,0.601,Jayceeoh,Not At All (feat. Waka Flocka Flame),dance
15,3444000,156.19048,0,0,22050,1,0.12136,153.54195,-3.757,126.041,0.57,4,0.887,6,0.35,0,0.327,3.15,4.12,1.0,1.0,0.0744,0.645,156190,0.778,1.54e-06,0.147,0.275,0.405,MOTi,Hooked,dance
16,4844789,219.71832,0,0,22050,1,0.0,215.41152,-0.975,142.019,0.834,4,0.59,0,0.528,1,0.555,3.15,4.12,1.0,1.0,0.000874,0.624,219718,0.97,0.548,0.545,0.0788,0.869,Marshmello,Check This Out,dance
17,3328839,150.96776,0,0,22050,1,2.13043,145.70522,-4.663,124.034,0.767,4,0.97,3,0.425,1,0.441,3.15,4.12,1.0,1.0,0.00514,0.714,150968,0.828,0.154,0.32,0.0598,0.208,Tiësto,Grapevine,dance
18,5251722,238.17333,0,0,22050,1,0.238,230.01687,-6.439,118.159,0.706,4,1.0,0,0.422,1,0.479,3.15,4.12,1.0,1.0,0.0104,0.588,238173,0.67,3.33e-06,0.338,0.0473,0.505,Silk City,Electricity (with Dua Lipa),dance
19,5354016,242.81252,0,0,22050,1,0.0,239.43256,-6.039,128.044,0.738,4,0.883,1,0.761,1,0.617,3.15,4.12,1.0,1.0,0.0154,0.468,242813,0.693,0.000186,0.172,0.0607,0.133,Above & Beyond,Flying By Candlelight - Above & Beyond Club Mix,dance
