,num_samples,duration,offset_seconds,window_seconds,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,code_version,echoprint_version,synch_version,rhythm_version,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness,valence,name,track,genre
0,3207540,145.46667,0,0,22050,1,0.07093,138.13551,-11.351,95.06,0.689,4,0.778,10,0.649,1,0.559,3.15,4.12,1.0,1.0,0.16,0.641,145467,0.645,0.0444,0.0889,0.0355,0.963,Horst Jankowski and his Studio Orchestra,Soulful Strut,jazz
1,7081519,321.15732,0,0,22050,1,0.0,310.54367,-19.455,89.776,0.032,4,0.746,10,0.327,1,0.178,3.15,4.12,1.0,1.0,0.856,0.441,321157,0.321,0.854,0.236,0.0324,0.594,Oscar Peterson Trio,Triste,jazz
2,8987286,407.58667,0,0,22050,1,0.0,403.21451,-19.111,96.07,0.838,4,0.524,0,0.167,1,0.336,3.15,4.12,1.0,1.0,0.662,0.546,407587,0.322,0.0299,0.76,0.037,0.488,Keith Jarrett,One For Majid - Live,jazz
3,9339792,423.57333,0,0,22050,1,1.00381,415.36435,-10.328,93.357,0.009,4,0.709,5,0.318,0,0.441,3.15,4.12,1.0,1.0,0.779,0.496,423573,0.634,0.402,0.0746,0.0364,0.606,Chet Baker,Autumn Leaves,jazz
4,5631570,255.4,0,0,22050,1,1.06363,246.71202,-18.949,123.239,0.122,4,0.32,2,0.0,1,0.313,3.15,4.12,1.0,1.0,0.733,0.554,255400,0.206,0.129,0.0831,0.0335,0.399,The Don Rendell / Ian Carr Quintet,Blue Mosque,jazz
5,9682597,439.12005,0,0,22050,1,0.67229,426.9337,-20.291,79.261,0.235,4,0.814,5,0.197,1,0.303,3.15,4.12,1.0,1.0,0.912,0.308,439120,0.114,0.919,0.169,0.0399,0.163,Freddie Hubbard,The Things We Did Last Summer,jazz
6,7099038,321.95184,0,0,22050,1,0.0,318.2585,-21.824,150.87,0.128,4,0.739,7,0.272,0,0.399,3.15,4.12,1.0,1.0,0.939,0.483,321952,0.186,0.873,0.115,0.0409,0.498,Joe Pass,Cloe,jazz
7,9597630,435.26667,0,0,22050,1,0.31007,404.86313,-20.358,86.925,0.343,4,0.743,1,0.217,0,0.198,3.15,4.12,1.0,1.0,0.818,0.373,435267,0.302,0.835,0.171,0.0376,0.35,Keith Jarrett,So Tender,jazz
8,12814093,581.138,0,0,22050,1,0.0,577.19002,-13.919,98.008,0.094,4,0.855,1,0.628,1,0.405,3.15,4.12,1.0,1.0,0.429,0.521,581138,0.403,8.82e-05,0.634,0.0417,0.626,Thelonious Monk,Bye-Ya,jazz
9,8166989,370.38499,0,0,22050,1,0.19909,358.82957,-16.922,135.712,0.812,4,0.997,5,0.343,0,0.258,3.15,4.12,1.0,1.0,0.526,0.601,370385,0.314,0.878,0.0937,0.0353,0.316,Oscar Peterson Trio,All the Things You Are,jazz
10,6231330,282.6,0,0,22050,1,0.35451,270.58794,-15.53,59.749,0.018,4,0.92,9,0.43,0,0.437,3.15,4.12,1.0,1.0,0.754,0.293,282600,0.237,0.45,0.121,0.0381,0.0848,Donald Byrd & Booker Little,Quiet Temple,jazz
11,11996376,544.05333,0,0,22050,1,0.13134,538.72036,-11.135,127.751,0.421,4,0.693,4,0.289,0,0.381,3.15,4.12,1.0,1.0,0.489,0.446,544053,0.594,0.493,0.687,0.0478,0.481,The Don Rendell / Ian Carr Quintet,Pavanne,jazz
