,num_samples,duration,offset_seconds,window_seconds,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,code_version,echoprint_version,synch_version,rhythm_version,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness,valence,name,track,genre
0,5035488,228.3668,0,0,22050,1,0.0,222.90576,-6.105,162.038,0.335,4,1.0,1,0.144,1,0.241,3.15,4.12,1.0,1.0,0.013,0.734,228367,0.683,0.0,0.28,0.0776,0.445,Future,First Off (feat. Travis Scott),rap
1,4315982,195.73615,0,0,22050,1,0.0,175.58349,-7.309,146.992,0.5,4,1.0,2,0.524,1,0.523,3.15,4.12,1.0,1.0,0.125,0.861,195736,0.481,1.38e-05,0.0903,0.343,0.188,Gunna,One Call,rap
2,4709738,213.59356,0,0,22050,1,0.63283,208.24816,-11.713,123.984,0.568,4,0.92,8,0.28,1,0.506,3.15,4.12,1.0,1.0,0.149,0.837,213594,0.364,0.0,0.271,0.276,0.463,J. Cole,MIDDLE CHILD,rap
3,6364163,288.62417,0,0,22050,1,0.06612,275.79501,-7.643,145.972,0.459,4,0.952,1,0.21,1,0.409,3.15,4.12,1.0,1.0,0.0395,0.837,288624,0.636,0.00125,0.342,0.086,0.274,21 Savage,a lot,rap
4,3980511,180.52204,0,0,22050,1,0.19007,162.18558,-6.365,86.003,0.056,4,0.947,4,0.54,0,0.523,3.15,4.12,1.0,1.0,0.259,0.889,180522,0.496,0.0,0.252,0.0905,0.544,Meek Mill,Going Bad (feat. Drake),rap
5,4983006,225.98667,0,0,22050,1,0.0,213.5249,-6.457,170.193,0.247,4,1.0,2,0.361,1,0.523,3.15,4.12,1.0,1.0,0.0591,0.71,225987,0.888,0.0,0.134,0.235,0.816,Logic,Keanu Reeves,rap
6,2861601,129.77782,0,0,22050,1,0.0,129.77782,-5.152,150.092,0.637,4,0.977,1,0.351,1,0.578,3.15,4.12,1.0,1.0,0.0991,0.731,129778,0.583,0.0,0.364,0.086,0.123,Lil Pump,Racks on Racks,rap
7,3920629,177.8063,0,0,22050,1,0.17673,171.66512,-8.099,100.021,0.623,4,1.0,10,0.518,1,0.532,3.15,4.12,1.0,1.0,0.00195,0.942,177806,0.383,0.0,0.0922,0.565,0.38,Rich The Kid,Splashin,rap
8,3296916,149.52,0,0,22050,1,0.42367,142.28027,-7.399,99.947,0.272,4,1.0,11,0.483,0,0.508,3.15,4.12,1.0,1.0,0.163,0.833,149520,0.539,2.1e-06,0.101,0.178,0.385,Post Malone,Wow.,rap
9,4482030,203.26667,0,0,22050,1,0.0,192.06966,-9.789,109.004,0.72,4,0.98,5,0.732,0,0.69,3.15,4.12,1.0,1.0,0.368,0.901,203267,0.464,1.71e-05,0.238,0.0645,0.638,Metro Boomin,Space Cadet (feat. Gunna),rap
10,3956861,179.44948,0,0,22050,1,0.0,171.06141,-5.075,96.057,0.02,4,1.0,3,0.619,0,0.478,3.15,4.12,1.0,1.0,0.407,0.791,179449,0.587,0.0,0.148,0.0413,0.536,A Boogie Wit da Hoodie,Look Back At It,rap
11,3191173,144.7244,0,0,22050,1,0.0,139.62159,-13.672,135.034,0.714,4,0.812,3,0.857,0,0.727,3.15,4.12,1.0,1.0,0.582,0.68,144724,0.313,0.0,0.19,0.0347,0.405,XXXTENTACION,Sauce!,rap
