,num_samples,duration,offset_seconds,window_seconds,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,code_version,echoprint_version,synch_version,rhythm_version,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness,valence,name,track,genre
0,3999744,181.39429,0,0,22050,1,0,169.48825,-11.088,78.496,0.48,4,1,9,0.363,0,0.533,3.15,4.12,1,1,0.367,0.818,181394,0.475,9.14E-06,0.0524,0.17,0.724,Horace Andy,Sky Larking,reggae
1,5655678,256.49333,0,0,22050,1,5.62503,244.05333,-11.536,78.837,0.421,4,1,8,0.432,1,0.638,3.15,4.12,1,1,0.025,0.838,256493,0.453,2.42E-05,0.116,0.31,0.815,Bob Marley & The Wailers,Waiting In Vain,reggae
2,5072382,230.04,0,0,22050,1,0.42381,215.33605,-11.445,73.724,0.16,4,1,6,0.667,0,0.702,3.15,4.12,1,1,0.0105,0.863,230040,0.457,0.000774,0.0978,0.0601,0.382,Ini Kamoze,World-A-Reggae,reggae
3,3657948,165.89333,0,0,22050,1,0.23088,153.26912,-13.012,72.842,0.063,4,1,1,0.224,1,0.318,3.15,4.12,1,1,0.352,0.786,165893,0.485,0.00467,0.0424,0.321,0.96,Bunny Wailer,Dream Land,reggae
4,4977420,225.73333,0,0,22050,1,0.34304,214.2273,-12.201,86.046,0.512,4,1,7,0.407,1,0.453,3.15,4.12,1,1,0.0693,0.835,225733,0.466,1.57E-06,0.243,0.227,0.862,Alton Ellis,I'm Still In Love,reggae
5,7127148,323.22667,0,0,22050,1,0.39986,316.0468,-14.748,118.494,0.939,4,0.915,10,0.212,1,0.199,3.15,4.12,1,1,0.102,0.931,323227,0.398,0.000204,0.0754,0.0967,0.709,Steel Pulse,Handsworth Revolution,reggae
6,4730460,214.53333,0,0,22050,1,0,202.30966,-12.267,123.671,0.801,4,1,11,0.652,0,0.631,3.15,4.12,1,1,0.153,0.939,214533,0.431,4.99E-05,0.13,0.299,0.729,Bob Marley & The Wailers,Jamming,reggae
7,4431168,200.96,0,0,22050,1,0.19175,190.3746,-13.085,127.686,0.484,4,1,5,0.65,0,0.468,3.15,4.12,1,1,0.0585,0.825,200960,0.433,0,0.0618,0.337,0.687,Culture,The International Herb,reggae
8,5109720,231.73333,0,0,22050,1,0.31846,217.91927,-12.667,80.946,0.608,4,1,0,0.366,1,0.444,3.15,4.12,1,1,0.0367,0.742,231733,0.568,0.0715,0.0511,0.156,0.678,Bunny Wailer,Mellow Mood,reggae
9,3910788,177.36,0,0,22050,1,0,167.70612,-12.188,113.078,0.855,4,1,9,0.064,1,0.284,3.15,4.12,1,1,0.41,0.654,177360,0.395,0.000237,0.133,0.0755,0.923,Various Artists,Morning Sun,reggae
10,5483688,248.69333,0,0,22050,1,0.37306,226.81832,-14.537,74.684,0.584,4,0.795,7,0.857,1,0.724,3.15,4.12,1,1,0.043,0.841,248693,0.309,0.0152,0.0368,0.216,0.931,Gregory Isaacs,Night Nurse,reggae
