,num_samples,duration,offset_seconds,window_seconds,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,code_version,echoprint_version,synch_version,rhythm_version,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness,valence,name,track,genre
0,7812756,354.32,0,0,22050,1,0.1795,334.10612,-9.928,71.105,0.058,4,0.899,0,0.085,0,0.23,3.15,4.12,1.0,1.0,0.271,0.414,354320,0.404,0.0,0.3,0.0499,0.224,Queen,Bohemian Rhapsody - Remastered 2011,rock
1,9029916,409.52,0,0,22050,1,0.0,409.51999,-8.515,142.702,0.426,4,1.0,2,0.432,1,0.545,3.15,4.12,1.0,1.0,0.0145,0.427,409520,0.665,0.00242,0.699,0.0405,0.442,Eagles,"Hotel California - Live at The Los Angeles Forum, 10/20-22/76",rock
2,7817166,354.52,0,0,22050,1,0.23229,344.69442,-7.766,125.116,0.665,4,1.0,6,0.597,1,0.702,3.15,4.12,1.0,1.0,0.0852,0.454,354520,0.91,0.0988,0.116,0.0446,0.63,Guns N' Roses,Sweet Child O' Mine,rock
3,5731824,259.94667,0,0,22050,1,1.00295,249.92798,-11.913,165.007,0.179,4,1.0,9,0.637,0,0.51,3.15,4.12,1.0,1.0,0.0302,0.533,259947,0.376,0.248,0.0926,0.0393,0.187,The Beatles,Come Together - Remastered 2009,rock
4,5598208,253.88698,0,0,22050,1,0.0,236.77968,-9.78,117.387,1.0,4,1.0,1,0.71,1,0.552,3.15,4.12,1.0,1.0,0.56,0.813,253887,0.46,0.0105,0.0724,0.0346,0.729,The Police,Every Breath You Take - Remastered 2003,rock
5,5215266,236.52,0,0,22050,1,0.19705,221.03075,-7.268,113.439,0.678,4,0.981,2,0.737,1,0.662,3.15,4.12,1.0,1.0,0.524,0.663,236520,0.712,0.0,0.0804,0.0479,0.527,Queen,Under Pressure - Remastered,rock
6,3530940,160.13333,0,0,22050,1,0.24317,153.39102,-7.028,116.109,0.848,4,1.0,0,0.825,1,0.71,3.15,4.12,1.0,1.0,0.0664,0.741,160133,0.697,2.28e-05,0.133,0.0277,0.774,Creedence Clearwater Revival,Have You Ever Seen The Rain,rock
7,5264366,238.74676,0,0,22050,1,0.0,224.07256,-15.881,104.126,0.87,4,1.0,0,0.701,1,0.639,3.15,4.12,1.0,1.0,0.0781,0.694,238747,0.394,0.000677,0.247,0.0428,0.719,Pink Floyd,"Another Brick in the Wall, Pt. 2",rock
8,4595220,208.4,0,0,22050,1,0.68145,208.39999,-4.793,115.715,0.686,4,1.0,6,0.396,0,0.485,3.15,4.12,1.0,1.0,0.0591,0.573,208400,0.913,0.00173,0.156,0.132,0.422,AC/DC,Highway to Hell,rock
9,4167156,188.98667,0,0,22050,1,0.0,184.3142,-6.463,113.375,0.806,4,1.0,2,0.733,1,0.692,3.15,4.12,1.0,1.0,0.079,0.742,188987,0.833,0.0,0.384,0.115,0.816,The Clash,Should I Stay or Should I Go - Remastered,rock
10,4733106,214.65333,0,0,22050,1,0.0,209.56009,-6.594,109.979,0.73,4,1.0,5,0.504,0,0.516,3.15,4.12,1.0,1.0,0.115,0.951,214653,0.53,0.179,0.17,0.178,0.699,Queen,Another One Bites The Dust - Remastered 2011,rock
11,5705052,258.73252,0,0,22050,1,0.0,251.14122,-4.918,174.53,0.02,4,0.949,2,0.452,1,0.537,3.15,4.12,1.0,1.0,0.000453,0.372,258733,0.865,0.0,0.234,0.0381,0.478,Oasis,Wonderwall - Remastered,rock
12,11820270,536.06667,0,0,22050,1,0.40132,519.31429,-9.316,79.759,0.128,4,0.976,11,0.986,1,0.763,3.15,4.12,1.0,1.0,0.0163,0.294,536067,0.641,0.22,0.112,0.0291,0.226,Guns N' Roses,November Rain,rock
13,4634322,210.17333,0,0,22050,1,0.43601,206.8898,-5.509,127.361,0.714,4,1.0,7,0.856,1,0.761,3.15,4.12,1.0,1.0,0.00287,0.532,210173,0.767,0.000513,0.39,0.0574,0.755,AC/DC,You Shook Me All Night Long,rock
14,7726320,350.4,0,0,22050,1,0.59773,340.81088,-7.325,148.217,0.931,4,1.0,5,0.412,1,0.382,3.15,4.12,1.0,1.0,0.0632,0.73,350400,0.868,0.0661,0.318,0.0288,0.923,Dire Straits,Sultans Of Swing,rock
15,4913034,222.81333,0,0,22050,1,0.19002,213.95447,-7.842,136.282,0.956,4,1.0,2,0.9,1,0.688,3.15,4.12,1.0,1.0,0.0348,0.725,222813,0.853,0.127,0.196,0.0353,0.904,The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version,rock
16,5886468,266.96,0,0,22050,1,0.13202,257.19002,-10.057,160.9,0.048,4,1.0,1,0.153,1,0.383,3.15,4.12,1.0,1.0,0.388,0.307,266960,0.433,9.08e-05,0.332,0.029,0.224,Aerosmith,Dream On,rock
17,3835524,173.94667,0,0,22050,1,1.03329,167.73515,-9.835,160.109,0.138,4,1.0,4,0.681,1,0.603,3.15,4.12,1.0,1.0,0.27,0.491,173947,0.801,0.0,0.0665,0.0361,0.971,The Beatles,I Saw Her Standing There - Remastered 2009,rock
18,5633628,255.49333,0,0,22050,1,0.5283,240.36717,-5.678,188.386,0.0,4,1.0,9,0.868,1,0.521,3.15,4.12,1.0,1.0,0.011,0.31,255493,0.7,0.00965,0.0828,0.047,0.763,AC/DC,Back In Black,rock
19,8944362,405.64,0,0,22050,1,0.22608,402.70948,-8.762,100.269,0.538,4,0.955,11,0.885,1,0.706,3.15,4.12,1.0,1.0,0.0169,0.273,405640,0.952,0.0112,0.142,0.0841,0.475,Guns N' Roses,Paradise City,rock
